"","id","w_retail_and_recreation_percent_change_from_baseline","w_grocery_and_pharmacy_percent_change_from_baseline","w_workplaces_percent_change_from_baseline"
"10114","20200325_ERIE (PA)",-45.3340146355655,-13.007061672771,-44.2905505369606
"10115","20200326_ERIE (PA)",-41.0202202545683,-8.50479771042666,-44.6887393670851
"10116","20200327_ERIE (PA)",-44.2905505369606,-12.97875033257,-43.7038921254889
"10117","20200328_ERIE (PA)",-52.7776617409013,-17.6559001021953,-35.3314808874832
"10118","20200329_ERIE (PA)",-40.7367313903787,-9.92266722364367,-31.2880167888784
"10119","20200330_ERIE (PA)",-44.9332920573587,-14.989375166285,-41.7038921254889
"10120","20200331_ERIE (PA)",-40.1652257373107,-9.10660888030216,-43.7038921254889
"10121","20200401_ERIE (PA)",-37.6755807852878,-4.01968068309252,-43.7038921254889
"10122","20200402_ERIE (PA)",-39.2905505369606,-5.0782975401011,-45.1172337140172
"10123","20200403_ERIE (PA)",-39.2602450201531,-3.04545827521129,-44.4461808534181
"10124","20200404_ERIE (PA)",-47.1652257373107,-2.40271675481325,-35.3314808874832
"10125","20200405_ERIE (PA)",-41.8256537641948,-6.74125931506747,-33.9332920573587
"10126","20200406_ERIE (PA)",-40.0965383170963,-6.18966355181479,-42.5724037378223
"10127","20200407_ERIE (PA)",-43.5724037378223,-9.52413457927408,-45.5724037378223
"10128","20200408_ERIE (PA)",-39.6206728963704,-6.76206728963704,-45.5724037378223
"10129","20200409_ERIE (PA)",-41.6206728963704,-5,-47.5241345792741
"10130","20200410_ERIE (PA)",-44.3344710274593,-7.47586542072592,-58.5241345792741
"10131","20200411_ERIE (PA)",-43.3827401860075,7.18966355181479,-39.5241345792741
"10132","20200215_CHARLESTON (SC)",5.15670164701971,2.22185676702456,-0.710302241932839
"10133","20200216_CHARLESTON (SC)",5.91259854372095,-1.84976309067258,-0.667249672550645
"10134","20200217_CHARLESTON (SC)",7.27239742354086,1.59070852626447,-19.9647410622614
"10135","20200218_CHARLESTON (SC)",-1.90197525538803,-5.20598530241043,1.57935732307063
"10136","20200219_CHARLESTON (SC)",0.866982545769894,-1.2679333283907,-0.424167672042902
"10137","20200220_CHARLESTON (SC)",-7.53241243116824,-9.70734901944926,-1.92378349475519
"10138","20200221_CHARLESTON (SC)",1.66798320403858,-0.991563826226054,0.581099600770152
"10139","20200222_CHARLESTON (SC)",3.68124406041693,-1.10787855504407,2.78456191432622
"10140","20200223_CHARLESTON (SC)",6.8776013408012,0.329302841788604,3.38284839375701
"10141","20200224_CHARLESTON (SC)",0.152837407634569,-2.33477568315034,2.34029345752819
"10142","20200225_CHARLESTON (SC)",4.30461551941443,-2.55442399243328,0.881419523844828
"10143","20200226_CHARLESTON (SC)",7.78386545257657,-1.48266821236242,0.075688542305558
"10144","20200227_CHARLESTON (SC)",10.6619352200707,2.4163841503279,0.904367938495688
"10145","20200228_CHARLESTON (SC)",10.7904121930233,3.2638286973694,0.408439993080316
"10146","20200229_CHARLESTON (SC)",12.0789304594176,4.30310577007326,2.80827868355249
"10147","20200301_CHARLESTON (SC)",15.2689645411103,7.05192234676157,3.57245673512212
"10148","20200302_CHARLESTON (SC)",9.34563936311943,4.12720873857297,3.17817288876607
"10149","20200303_CHARLESTON (SC)",9.9928522804629,5.95860321226132,1.40049358918193
"10150","20200304_CHARLESTON (SC)",3.03165530984685,-0.593952690027342,-0.605703797064526
"10151","20200305_CHARLESTON (SC)",-3.07998975527233,-8.02590837708686,-2.72943696684168
"10152","20200306_CHARLESTON (SC)",8.25561831200138,5.87615337435718,1.58308788673285
"10153","20200307_CHARLESTON (SC)",7.23805624265626,5.71110766624654,2.38768430961544
"10154","20200308_CHARLESTON (SC)",11.5238481982984,5.79380463573927,2.03178786224436
"10155","20200309_CHARLESTON (SC)",8.26419939475227,5.95183405338492,1.07090205276484
"10156","20200310_CHARLESTON (SC)",8.22041104723134,6.16341014632437,0.883407809807529
"10157","20200311_CHARLESTON (SC)",9.26326703466807,7.11509142745452,0.0292289269771089
"10158","20200312_CHARLESTON (SC)",10.2417385033262,13.0494510308757,0.0434985295670479
"10159","20200313_CHARLESTON (SC)",9.24717989157663,22.2136969312997,-1.55876452178914
"10160","20200314_CHARLESTON (SC)",3.87193641079561,17.0348197175061,2.32995212387134
"10161","20200315_CHARLESTON (SC)",5.10486804296495,22.1096140927912,-2.13135380930877
"10162","20200316_CHARLESTON (SC)",1.47724142734219,22.4236812721436,-10.089393112218
"10163","20200317_CHARLESTON (SC)",-5.49631773933009,15.8484735131103,-15.7955581466928
"10164","20200318_CHARLESTON (SC)",-16.8410101391351,8.68338062533278,-23.5097953975112
